x,y,z,px,py,pz,phi,theta,charge
0.096023,-0.241772,20.000000,-0.008176,-0.069818,-0.355308,4.595822,2.946271,-1.000000
0.855256,1.758607,20.000000,-0.686422,-0.305314,-3.634055,3.560107,2.937737,-1.000000
-4.194154,-2.967966,20.000000,-4.002390,-0.402864,-2.291734,3.241911,2.088648,1.000000
4.951362,4.789477,20.000000,0.595791,-0.681239,-1.161577,5.430975,2.479710,1.000000
0.426742,1.532922,20.000000,0.869831,-8.207849,-12.181599,4.817970,2.546084,1.000000
-2.847783,2.082744,20.000000,-0.651008,-0.131221,-2.029298,3.340493,2.825321,1.000000
-3.054398,0.548944,20.000000,-0.729801,0.379892,-0.430809,2.661647,2.053158,1.000000
-1.972095,-4.892222,20.000000,-4.755463,-5.260634,-12.283528,3.977384,2.618021,1.000000
0.899791,-1.720842,20.000000,0.022410,0.018777,-0.076305,0.697430,2.775688,1.000000
2.002240,0.188763,20.000000,-0.020729,-0.047535,-0.215222,4.301178,2.905149,1.000000
0.767356,-4.026252,20.000000,5.503978,1.656745,-14.316543,0.292382,2.759804,1.000000
-2.402474,0.864171,20.000000,2.133150,-1.471282,-2.861037,5.679390,2.405620,1.000000
1.758647,2.482463,20.000000,-0.509000,0.305147,-2.156965,2.601539,2.873099,1.000000
-0.698382,3.228810,20.000000,-0.301766,-0.687435,-0.980007,4.298741,2.487887,1.000000
1.414920,-2.633328,20.000000,-0.017386,-0.220129,-0.532928,4.633571,2.748783,-1.000000
1.452870,0.370918,20.000000,1.049373,-0.377555,-1.679912,5.937815,2.555535,-1.000000
-1.840618,1.561593,20.000000,0.016039,1.406345,-1.044602,1.559392,2.209628,-1.000000
-1.688189,3.108099,20.000000,-25.461570,-16.341951,-47.213698,3.712202,2.571709,-1.000000
1.749632,0.371892,20.000000,-0.264809,0.257598,-0.610710,2.369997,2.597561,-1.000000
-4.161753,-0.593497,20.000000,1.642058,-0.104886,-1.713838,6.219397,2.376563,1.000000
4.354290,-3.937282,20.000000,0.101611,-0.530944,-0.382914,4.901480,2.187097,-1.000000
2.117245,1.179663,20.000000,1.239637,-3.467689,-1.474247,5.055714,1.951585,1.000000
0.445957,2.599879,20.000000,1.030079,-1.781083,-4.411024,5.236733,2.705147,-1.000000
1.971507,-2.196834,20.000000,0.296253,0.318558,-1.439639,0.821662,2.848141,1.000000
2.947376,0.635470,20.000000,0.718279,0.491877,-3.531962,0.600451,2.899930,1.000000
-4.086572,3.059760,20.000000,-0.531306,0.426235,-0.288661,2.465487,1.971639,-1.000000
-4.003480,-2.916795,20.000000,-0.158102,0.091662,-0.139537,2.616186,2.222903,-1.000000
-4.426707,-0.420701,20.000000,-0.273438,0.091982,-0.602077,2.817093,2.694752,-1.000000
2.672895,4.603020,20.000000,-0.914302,0.168956,-0.902487,2.958861,2.341299,1.000000
-3.339383,-1.387279,20.000000,-0.031358,-0.125117,-0.222783,4.466815,2.616773,1.000000
-0.405249,3.372235,20.000000,0.085104,-0.163214,-0.469756,5.193032,2.768140,-1.000000
1.518917,2.451635,20.000000,-1.063065,0.197367,-2.466400,2.958024,2.728440,1.000000
-4.944196,-3.556277,20.000000,-1.166312,2.202511,-6.028671,2.057794,2.749588,-1.000000
-1.594542,4.372909,20.000000,-0.208623,-0.294149,-0.964048,4.095486,2.783638,-1.000000
-0.479885,-1.072028,20.000000,-0.219129,0.110060,-0.686062,2.676139,2.798319,-1.000000
-2.488108,-3.566544,20.000000,-4.333016,-0.049146,-2.189057,3.152934,2.038573,-1.000000
0.371088,4.500187,20.000000,1.680499,-0.363681,-0.458895,6.070059,1.831610,1.000000
-3.028778,3.354856,20.000000,-0.857798,-0.430406,-1.988901,3.606644,2.692011,1.000000
4.614215,-0.945672,20.000000,-0.804358,0.448781,-0.752559,2.632676,2.255839,-1.000000
-2.217963,-4.111601,20.000000,0.716550,-1.425742,-1.648752,5.178099,2.372552,1.000000
-4.191670,-2.112222,20.000000,0.154411,-0.217621,-0.648159,5.329490,2.751055,-1.000000
4.045289,2.505339,20.000000,-3.202776,-0.117053,-4.069604,3.178124,2.474505,1.000000
2.355941,-3.510983,20.000000,6.885349,1.677314,-19.474085,0.238952,2.792585,1.000000
4.221422,3.462123,20.000000,-0.770202,-0.037252,-1.704515,3.189922,2.716754,-1.000000
0.284830,4.602011,20.000000,-0.099678,-1.413580,-1.779462,4.641991,2.469076,-1.000000
-3.256331,-2.430193,20.000000,5.145256,-2.285173,-10.876754,5.865222,2.663958,1.000000
-1.824317,4.304546,20.000000,0.224929,-0.711986,-1.242373,5.018384,2.600436,-1.000000
2.888289,-1.815450,20.000000,-0.262488,0.764261,-1.871462,1.901627,2.733984,1.000000
-1.104156,1.507568,20.000000,-0.964430,0.748380,-2.848478,2.481670,2.736713,1.000000
-3.181480,2.363565,20.000000,-50.144593,-61.767965,-59.981053,4.030481,2.216796,1.000000
4.559975,2.441814,20.000000,1.633840,-2.639181,-2.522215,5.266713,2.253157,-1.000000
2.597477,-3.899241,20.000000,-0.128820,0.139228,-0.287405,2.317387,2.558235,-1.000000
-2.652984,0.011790,20.000000,0.475122,-0.056998,-1.066558,6.163790,2.719849,-1.000000
-4.987539,1.792360,20.000000,2.019822,-1.137355,-1.392305,5.770343,2.111688,-1.000000
-3.690648,-1.078799,20.000000,0.172384,0.042339,-0.355458,0.240843,2.678444,-1.000000
-3.751671,2.659218,20.000000,1.669141,1.880405,-3.767217,0.844847,2.553063,1.000000
-1.327425,2.545075,20.000000,-3.307167,-2.141053,-9.693343,3.716136,2.755550,-1.000000
2.093241,-0.009763,20.000000,2.925487,-5.313005,-10.592726,5.215714,2.621579,1.000000
-3.768574,-0.806027,20.000000,2.256026,0.280471,-8.024973,0.123686,2.865536,-1.000000
2.768273,-3.490131,20.000000,-0.279164,6.236124,-15.796847,1.615532,2.765261,-1.000000
-4.653666,-1.335413,20.000000,0.617396,-0.359650,-0.866433,5.755712,2.451996,-1.000000
-4.131357,0.405605,20.000000,-1.758977,-0.813874,-1.355862,3.574955,2.181232,1.000000
-0.673600,0.625474,20.000000,-0.107895,0.180817,-0.619036,2.108793,2.813725,1.000000
2.610820,2.881020,20.000000,-0.247130,-0.546025,-4.192866,4.287376,2.999610,-1.000000
2.106300,-0.852155,20.000000,0.419053,-0.893473,-4.523827,5.150944,2.926810,1.000000
-4.422599,-4.143485,20.000000,0.260700,0.331614,-0.751263,0.904554,2.629977,1.000000
-4.715700,4.550395,20.000000,-0.013962,0.213363,-0.452951,1.636143,2.700547,1.000000
4.351528,-4.483539,20.000000,0.218730,0.154953,-1.664830,0.616357,2.981953,1.000000
-3.278735,-4.246726,20.000000,0.664870,-1.347080,-2.289285,5.170874,2.560873,1.000000
-0.207028,-2.164647,20.000000,-0.076421,0.476027,-0.532131,1.729977,2.405461,1.000000
-4.150531,-2.064884,20.000000,0.176540,2.501851,-2.376570,1.500349,2.329280,1.000000
3.803624,-0.574773,20.000000,0.041052,-0.276260,-0.906559,4.859910,2.842738,-1.000000
