x,y,z,px,py,pz,phi,theta,charge
-3.868587,4.269924,20.000000,-0.124711,0.060178,-0.549385,2.692010,2.894688,1.000000
2.271124,1.934804,20.000000,0.817922,0.645159,-1.847029,0.667861,2.628057,-1.000000
-0.852358,1.383615,20.000000,1.598577,-0.141301,-1.481823,6.195023,2.316371,-1.000000
3.585103,-1.566009,20.000000,0.694758,0.693306,-4.490784,0.784352,2.926415,-1.000000
1.299910,3.227199,20.000000,-0.661272,-0.755538,-4.294730,3.993427,2.911931,-1.000000
-2.357556,-4.534596,20.000000,2.015532,-1.894962,-3.967454,5.528610,2.532690,-1.000000
-1.277817,4.392549,20.000000,-32.302135,-11.640728,-8.996050,3.487476,1.827040,1.000000
-2.378936,3.991862,20.000000,0.198703,3.622269,-3.028954,1.515995,2.266487,-1.000000
-3.202661,0.518216,20.000000,-0.168301,-0.021087,-0.269037,3.266238,2.579078,1.000000
-3.973879,-3.407562,20.000000,-1.587501,-0.389025,-1.121171,3.381912,2.172033,1.000000
3.083320,-2.006591,20.000000,-0.370381,0.287227,-0.745526,2.481976,2.580347,-1.000000
-4.302564,0.507522,20.000000,0.118843,0.227893,-0.273224,1.090108,2.386747,-1.000000
3.971694,-4.055351,20.000000,-2.222172,0.464410,-1.661576,2.935569,2.202621,-1.000000
1.275907,-0.801013,20.000000,-0.581008,1.335302,-2.909908,1.981202,2.677595,-1.000000
0.273821,3.578937,20.000000,-2.541218,-0.765685,-3.366703,3.434247,2.474010,1.000000
-1.765848,-1.742104,20.000000,-0.391045,1.749874,-1.588345,1.790654,2.295734,-1.000000
-2.479614,2.775196,20.000000,0.157177,0.240986,-0.166717,0.992861,2.095973,-1.000000
2.401408,1.509324,20.000000,2.432366,-0.410005,-3.647387,6.116193,2.546960,1.000000
0.286409,-4.551626,20.000000,-0.320879,0.467777,-6.968936,2.172040,3.060374,1.000000
-0.552617,4.144949,20.000000,0.093877,0.076751,-0.340438,0.685363,2.799420,1.000000
2.288703,0.896444,20.000000,0.257872,-0.312637,-0.169980,5.402087,1.967939,1.000000
-1.146562,4.218205,20.000000,-0.182341,-0.224175,-0.494761,4.029537,2.612980,1.000000
4.331263,-0.054898,20.000000,0.120793,-0.038185,-0.389260,5.977004,2.826954,1.000000
3.299936,-2.342287,20.000000,0.083574,0.307294,-0.317746,1.305250,2.355078,-1.000000
-1.148386,4.476195,20.000000,0.153317,0.563410,-0.923926,1.305107,2.577993,1.000000
-2.403221,-3.381014,20.000000,0.346987,0.951077,-0.753883,1.220967,2.210866,1.000000
-3.600291,-4.188493,20.000000,0.152144,0.170221,-1.299392,0.841414,2.967667,-1.000000
-4.332197,-3.949707,20.000000,-0.026585,0.015421,-0.267920,2.615957,3.027379,1.000000
1.824016,0.712641,20.000000,21.398139,5.490027,-6.022141,0.251148,1.836933,-1.000000
-0.677917,4.311801,20.000000,0.134936,-0.688333,-0.846243,4.905968,2.449488,-1.000000
3.072352,-2.505035,20.000000,-0.592050,-1.896737,-3.501007,4.409831,2.625376,1.000000
-0.972294,-0.774672,20.000000,-0.512430,-0.162685,-0.919943,3.449007,2.612707,1.000000
-3.127620,-3.688575,20.000000,-2.149137,-0.237934,-1.916864,3.251855,2.296106,1.000000
-2.953014,-0.230886,20.000000,4.645855,1.816934,-5.512482,0.372799,2.406051,1.000000
2.304429,-1.032153,20.000000,-0.768031,0.444859,-1.549722,2.616593,2.621470,-1.000000
0.995868,-3.337962,20.000000,-0.268191,0.067721,-0.938359,2.894254,2.854933,1.000000
2.597186,2.696496,20.000000,0.003653,-0.106368,-0.298681,4.746717,2.799285,1.000000
3.439331,-1.905600,20.000000,0.191988,-0.089116,-1.435744,5.848608,2.995223,1.000000
3.111217,2.682015,20.000000,0.169438,0.503853,-2.539328,1.246393,2.935234,1.000000
-0.202193,-3.037439,20.000000,0.571002,-0.221054,-1.179641,5.913819,2.662818,1.000000
1.736124,0.264617,20.000000,0.166319,-0.710685,-2.084442,4.942277,2.804776,-1.000000
2.441199,2.574037,20.000000,-0.965841,0.949028,-3.927795,2.364974,2.809611,-1.000000
-3.374342,2.371813,20.000000,0.464782,-0.103193,-1.492661,6.064704,2.832833,-1.000000
1.014987,-1.781358,20.000000,-0.038394,0.192146,-0.987204,1.768016,2.945655,-1.000000
-3.813225,-2.412856,20.000000,-0.683586,0.265406,-1.375821,2.771252,2.651901,1.000000
-4.080872,4.494860,20.000000,0.571975,0.553521,-4.343299,0.769003,2.960344,-1.000000
4.442112,2.564462,20.000000,0.490883,0.320111,-0.652235,0.577860,2.409605,1.000000
3.776578,3.149615,20.000000,0.047640,1.118783,-3.383405,1.528240,2.821973,1.000000
1.740126,1.974687,20.000000,-2.115567,-0.380879,-2.167216,3.319721,2.360280,1.000000
4.854343,-1.143755,20.000000,0.651387,-1.211201,-1.652372,5.205819,2.447471,-1.000000
-2.323098,-0.396526,20.000000,0.219707,-0.897137,-1.025928,4.952560,2.408609,-1.000000
-2.732839,2.482517,20.000000,-5.070298,0.400862,-2.637579,3.062696,2.049200,1.000000
2.248105,1.137718,20.000000,0.444170,-1.188676,-1.913688,5.069991,2.556069,1.000000
0.101853,4.380760,20.000000,0.438412,-0.799535,-1.777155,5.213952,2.667526,1.000000
1.418900,-2.939829,20.000000,2.593027,1.641075,-5.126036,0.564246,2.602167,1.000000
4.607899,-1.178565,20.000000,-0.338993,0.361670,-2.180830,2.323841,2.918090,-1.000000
-1.210082,-0.650350,20.000000,0.355903,-0.534522,-2.050383,5.299815,2.838075,1.000000
-1.685026,-2.489056,20.000000,0.112338,4.960742,-3.644724,1.548155,2.204320,1.000000
-0.799190,-3.992332,20.000000,-0.125111,0.048303,-0.270876,2.773139,2.681871,-1.000000
2.769444,-2.340104,20.000000,-0.393472,2.429744,-2.649460,1.731342,2.392975,1.000000
2.386590,0.630077,20.000000,-0.045492,0.049699,-0.101445,2.312028,2.555328,-1.000000
-4.553575,2.871352,20.000000,0.345773,0.942268,-1.338205,1.219095,2.498066,1.000000
-3.081355,4.518318,20.000000,0.952352,-1.324102,-5.070405,5.335914,2.830372,1.000000
-4.369217,-4.270169,20.000000,-1.467022,0.152788,-1.703917,3.037818,2.428096,-1.000000
-1.910008,-0.438959,20.000000,0.071321,-0.494006,-0.510546,4.855772,2.367503,-1.000000
0.628548,1.845709,20.000000,-1.072755,0.308859,-2.954767,2.861262,2.780363,1.000000
-4.329320,-0.659426,20.000000,-0.627797,0.423508,-0.783054,2.548122,2.372919,-1.000000
-0.168131,1.291940,20.000000,1.188916,0.198115,-1.074321,0.165118,2.298797,1.000000
-4.241193,2.676446,20.000000,-0.042318,0.378187,-0.734601,1.682229,2.663623,1.000000
3.659613,1.404773,20.000000,0.154869,0.790334,-0.684227,1.377294,2.275050,-1.000000
0.909058,4.075767,20.000000,-0.438660,-0.129055,-0.433571,3.427723,2.329619,-1.000000
1.001051,-4.068858,20.000000,5.157747,-4.200191,-7.810123,5.599758,2.436132,-1.000000
2.449691,-2.381162,20.000000,0.442052,5.054202,-4.155259,1.483556,2.257024,1.000000
-1.625900,2.610627,20.000000,-0.242511,0.182527,-1.240154,2.496395,2.901563,1.000000
-1.581765,0.987266,20.000000,0.191250,0.123306,-0.703785,0.572665,2.828873,-1.000000
-0.196604,-0.986207,20.000000,2.063310,1.781000,-8.582535,0.712094,2.834085,1.000000
-2.476701,-0.821316,20.000000,2.849223,0.842456,-5.389330,0.287488,2.637748,-1.000000
3.043234,2.652482,20.000000,-0.301690,-0.071268,-0.810078,3.373571,2.776114,1.000000
-0.732938,3.348677,20.000000,-7.185245,-1.022100,-11.543275,3.282894,2.580317,1.000000
-1.251788,-3.872616,20.000000,-3.195494,-17.338221,-35.641411,4.530131,2.682229,-1.000000
4.016089,-3.296918,20.000000,0.059120,0.409103,-0.857294,1.427278,2.692319,-1.000000
1.377167,-2.249297,20.000000,10.733279,10.082763,-15.172973,0.754158,2.371131,-1.000000
-3.289292,0.202609,20.000000,0.626439,0.511068,-2.886086,0.684320,2.868468,-1.000000
-3.210693,0.883026,20.000000,0.321444,-1.365533,-2.868051,4.943578,2.686677,-1.000000
-2.905531,3.439137,20.000000,0.353537,-0.260933,-1.486216,5.647367,2.854130,1.000000
3.289856,-2.555215,20.000000,13.685925,11.081955,-62.723412,0.680648,2.867882,1.000000
3.589564,-0.973623,20.000000,-11.873985,-3.327999,-18.128859,3.414858,2.544268,-1.000000
2.228282,1.669067,20.000000,0.150488,-0.110070,-0.133656,5.651679,2.192749,1.000000
1.583184,-3.708332,20.000000,0.019843,-0.260300,-0.486164,4.788474,2.648810,1.000000
-3.336726,-1.983410,20.000000,-0.162488,0.846321,-0.791583,1.760481,2.313764,-1.000000
1.715831,-3.860759,20.000000,0.397041,-0.059227,-0.398228,6.135107,2.352186,-1.000000
0.497753,-2.121516,20.000000,0.068175,-0.505537,-0.862945,4.846436,2.607720,-1.000000
4.487835,-1.271753,20.000000,-0.868867,0.339794,-3.323599,2.768802,2.867931,1.000000
0.667037,3.405178,20.000000,1.303639,-0.406609,-6.151723,5.980845,2.923152,1.000000
3.326931,-3.336774,20.000000,0.017021,0.016187,-0.453938,0.760289,3.089893,1.000000
-3.788604,3.401206,20.000000,0.012674,-0.305884,-0.288046,4.753799,2.325742,-1.000000
-0.591283,-1.599782,20.000000,3.037594,-2.863428,-4.592849,5.527293,2.403879,-1.000000
0.341648,-2.382187,20.000000,-0.157416,0.651148,-1.008551,1.807996,2.555281,-1.000000
-4.836728,-1.125680,20.000000,-2.159702,-8.141389,-5.697270,4.453087,2.165505,-1.000000
-3.793522,3.131349,20.000000,-0.947307,-0.169142,-1.894854,3.318281,2.671690,1.000000
2.809720,-3.675756,20.000000,0.704749,-0.270948,-1.824078,5.916147,2.749136,-1.000000
