x,y,z,px,py,pz,phi,theta,charge
1.574403,3.310835,20.000000,0.560542,-3.160088,-4.682746,4.887945,2.540753,-1.000000
4.433731,-1.682938,20.000000,0.277256,-0.905257,-0.502222,5.009591,2.058515,1.000000
1.056637,-1.115923,20.000000,6.761140,-2.286565,-14.787767,5.957068,2.691921,-1.000000
-3.308822,-4.772061,20.000000,-0.026619,-0.018335,-0.090819,3.744764,2.799676,-1.000000
0.261543,0.188371,20.000000,-0.761115,-0.896044,-1.599612,4.008234,2.507781,1.000000
0.504794,1.048912,20.000000,-0.368379,0.091176,-0.356902,2.898964,2.325525,1.000000
3.359944,1.844637,20.000000,-1.437219,3.350447,-5.351617,1.976019,2.543574,1.000000
-2.236623,1.629287,20.000000,-0.645288,0.184197,-1.252686,2.863539,2.649795,-1.000000
-4.896631,3.974707,20.000000,-0.599212,-0.490965,-1.116349,3.828023,2.534955,1.000000
3.541971,4.431233,20.000000,0.598358,0.269954,-0.897729,0.423817,2.510221,1.000000
4.440914,0.140445,20.000000,2.481382,-1.717754,-1.084407,5.677675,1.915751,-1.000000
-4.968565,-2.469874,20.000000,-0.021299,0.039911,-0.812176,2.061012,3.085949,-1.000000
-2.445111,4.399239,20.000000,0.849886,0.084165,-1.207032,0.098710,2.525813,1.000000
-1.676919,-4.998096,20.000000,29.349413,-15.087298,-51.622325,5.808355,2.572803,-1.000000
-1.203912,1.234926,20.000000,12.078363,12.587561,-13.335394,0.806039,2.223461,-1.000000
-3.548786,-1.904724,20.000000,0.103625,-0.082488,-0.570426,5.610872,2.913445,1.000000
-1.549574,-2.291497,20.000000,0.046145,-0.069801,-0.122187,5.296522,2.541131,-1.000000
1.288369,-0.645748,20.000000,0.067372,0.702206,-0.993436,1.475145,2.524126,1.000000
4.528344,1.386280,20.000000,0.186984,-0.874607,-1.680798,4.923010,2.652587,1.000000
-1.122590,2.404082,20.000000,-0.848552,-0.416878,-1.600467,3.598241,2.608026,1.000000
3.348637,4.854569,20.000000,0.109913,0.082921,-0.581640,0.646327,2.909155,1.000000
4.630517,0.134645,20.000000,-5.002753,-10.064329,-9.610383,4.251082,2.278233,-1.000000
-0.867597,0.222591,20.000000,-1.630481,0.868634,-2.263055,2.652092,2.456966,-1.000000
-0.086477,-3.549618,20.000000,-0.247111,-0.413818,-0.512908,4.174068,2.387266,-1.000000
-2.477958,-2.290257,20.000000,-0.123151,0.051614,-0.154838,2.744721,2.429952,-1.000000
-3.245206,-4.205036,20.000000,-0.216272,0.187253,-0.995793,2.427985,2.861846,1.000000
1.768910,1.117105,20.000000,-0.039722,-0.031829,-0.303491,3.817119,2.975420,-1.000000
-4.795743,0.692112,20.000000,1.290591,-0.902897,-1.992796,5.672728,2.472744,1.000000
1.163316,-2.606909,20.000000,-0.360458,-0.267287,-0.860541,3.779645,2.660918,1.000000
2.856688,0.809032,20.000000,-1.091214,0.057617,-0.447766,3.088841,1.959694,-1.000000
3.480447,3.203886,20.000000,0.595571,1.838832,-3.373225,1.257573,2.621259,1.000000
2.838379,-1.910922,20.000000,0.497210,3.248031,-4.479292,1.418895,2.508691,1.000000
2.563913,3.873908,20.000000,2.208868,4.066196,-7.244970,1.073168,2.573196,1.000000
-1.480816,-3.695398,20.000000,0.034310,0.020984,-0.032470,0.548905,2.249996,1.000000
-4.841476,-4.776184,20.000000,3.380219,-0.127705,-5.030265,6.245423,2.549593,-1.000000
1.022007,-0.854991,20.000000,0.257699,-0.340188,-0.756270,5.360686,2.627825,1.000000
4.984485,-0.779536,20.000000,-5.554116,-0.549764,-12.106432,3.240254,2.709616,-1.000000
3.819909,1.836259,20.000000,-0.321274,0.481863,-0.525815,2.158845,2.307968,1.000000
-2.752932,3.794857,20.000000,0.050741,-1.156256,-2.568630,4.756245,2.718258,-1.000000
