x,y,z,px,py,pz,phi,theta,charge
-3.839118,-3.030650,20.000000,-8.536815,-3.009471,-16.704780,3.480518,2.645016,1.000000
4.467717,1.538850,20.000000,-0.320096,0.363000,-0.594656,2.293468,2.458451,-1.000000
-0.534518,3.893785,20.000000,-6.170708,0.742585,-3.584647,3.021828,2.093946,1.000000
-3.483936,2.372439,20.000000,0.188178,1.314373,-2.236860,1.428594,2.605901,-1.000000
0.935201,2.500652,20.000000,0.113765,-0.040320,-0.180120,5.942583,2.551215,1.000000
0.783429,-4.271978,20.000000,-0.178194,-0.077821,-0.764531,3.553350,2.892539,-1.000000
-0.190731,-3.493885,20.000000,-1.150745,0.602084,-2.309444,2.659548,2.629310,-1.000000
-0.136069,4.315952,20.000000,-1.892348,-2.996594,-3.931370,4.149130,2.407955,1.000000
3.101827,-0.934750,20.000000,-0.022428,0.051534,-0.092099,1.981278,2.593677,-1.000000
-0.961561,-3.740036,20.000000,10.925794,5.603678,-9.299693,0.473903,2.218994,1.000000
4.787561,1.255207,20.000000,1.676697,-0.608166,-1.915035,5.935227,2.391719,1.000000
-0.512286,4.748343,20.000000,0.491849,0.089345,-1.143613,0.179692,2.729500,-1.000000
-1.972125,-2.794190,20.000000,-0.084911,-0.531532,-1.081598,4.553980,2.679816,-1.000000
-2.224418,1.236013,20.000000,-0.842110,-0.361598,-1.681298,3.547181,2.642526,1.000000
-4.514091,-3.298303,20.000000,0.248795,-2.466620,-2.854174,4.812914,2.426399,1.000000
0.654463,-1.709698,20.000000,0.240465,0.037055,-0.552143,0.152896,2.726540,1.000000
-0.698027,1.797713,20.000000,0.989971,2.692607,-1.505449,1.218474,2.054056,-1.000000
-1.254684,-1.766950,20.000000,0.024846,0.107323,-0.351001,1.343301,2.837479,-1.000000
4.075528,-4.970705,20.000000,-0.020999,3.029284,-5.351931,1.577728,2.626525,-1.000000
1.122578,-4.461327,20.000000,0.139142,-0.084440,-0.277186,5.737736,2.610651,-1.000000
-2.382319,-2.378252,20.000000,0.257619,-0.355050,-1.021608,5.340081,2.736011,-1.000000
-3.740867,3.677863,20.000000,-0.751465,1.418780,-4.038151,2.057886,2.763171,1.000000
-4.183445,2.877251,20.000000,0.172511,-0.192276,-0.612360,5.443656,2.742396,1.000000
-1.137426,-4.843736,20.000000,0.826211,1.284650,-1.422701,0.999258,2.320719,1.000000
3.893464,0.637250,20.000000,-0.305986,-0.033041,-0.757376,3.249157,2.755619,-1.000000
-0.349430,1.689639,20.000000,-0.179063,-1.213107,-0.996179,4.565841,2.253039,-1.000000
-3.599059,0.173468,20.000000,0.323547,0.441563,-1.172061,0.938439,2.704650,1.000000
3.072349,-0.718461,20.000000,-0.372932,-0.196409,-0.424875,3.626341,2.360192,-1.000000
-1.063417,0.109318,20.000000,0.122716,0.022436,-0.289790,0.180832,2.735087,-1.000000
0.903247,-0.855723,20.000000,0.024369,0.003674,-0.037237,0.149659,2.556954,-1.000000
-4.945927,-1.711804,20.000000,-9.494373,2.318917,-4.151909,2.902041,1.972510,-1.000000
-1.699459,0.855410,20.000000,0.159870,-0.510516,-1.791780,5.015868,2.851453,1.000000
0.281736,0.224379,20.000000,-0.063916,-0.043196,-0.080948,3.735908,2.380251,1.000000
0.307331,-4.619600,20.000000,-0.061327,0.260740,-0.579488,1.801799,2.708617,1.000000
-3.728213,4.749452,20.000000,0.041166,0.056560,-0.091403,0.941637,2.488346,1.000000
4.719246,-0.112779,20.000000,-0.320124,-0.051008,-2.079252,3.299603,2.986934,1.000000
3.040631,2.893570,20.000000,0.422244,1.308520,-1.433355,1.258657,2.376985,1.000000
-4.684916,2.209297,20.000000,-0.013425,-0.151403,-0.166940,4.623948,2.403014,1.000000
4.735546,-4.220162,20.000000,0.001576,-0.018845,-0.098047,4.795835,2.951063,-1.000000
3.010323,2.604000,20.000000,0.716338,-1.801043,-3.153577,5.090941,2.590488,-1.000000
2.473551,1.174763,20.000000,1.594343,3.021285,-2.646652,1.085232,2.229948,1.000000
-1.211092,2.142660,20.000000,-2.921015,-11.151373,-8.619722,4.456203,2.212854,-1.000000
1.274284,0.285968,20.000000,-0.111218,-0.045204,-1.321233,3.527644,3.050977,-1.000000
-4.222265,1.682715,20.000000,-0.354276,-0.278145,-0.759731,3.807186,2.606436,1.000000
