x,y,z,px,py,pz,phi,theta,charge
-4.246654,-0.760008,20.000000,-3.210848,0.030777,-4.695367,3.132008,2.541778,-1.000000
1.091672,3.792905,20.000000,1.722606,-0.634831,-3.143685,5.930100,2.613033,-1.000000
-0.285464,0.237809,20.000000,-3.439052,-0.292878,-1.683789,3.226550,2.024671,1.000000
0.009556,1.023076,20.000000,-0.492861,-0.262606,-1.023105,3.631149,2.641945,1.000000
3.578071,-1.798858,20.000000,-7.507914,2.049362,-10.436543,2.875124,2.500846,-1.000000
-2.726317,0.662525,20.000000,0.566353,0.437502,-0.741914,0.657739,2.374207,-1.000000
-2.373980,1.573909,20.000000,-0.570001,1.617892,-1.908535,1.909528,2.409449,1.000000
-2.154220,1.881570,20.000000,0.182264,0.293339,-1.089325,1.014832,2.834583,1.000000
1.738989,4.166576,20.000000,-0.503031,0.132262,-1.101280,2.884481,2.700354,-1.000000
3.529356,-2.889730,20.000000,1.799731,0.855847,-2.696306,0.443890,2.505098,1.000000
-3.505289,2.511241,20.000000,0.084047,2.491986,-4.130672,1.537082,2.598507,1.000000
2.047844,-3.373138,20.000000,0.022604,-0.027370,-0.295171,5.402714,3.021908,1.000000
4.451011,-2.893204,20.000000,-0.177374,0.792481,-0.485079,1.790988,2.109245,-1.000000
-0.924004,1.868109,20.000000,0.261397,0.159687,-0.215870,0.548394,2.184692,1.000000
1.956707,0.746548,20.000000,-6.160711,0.408751,-3.827675,3.075342,2.125749,-1.000000
-0.533735,3.241137,20.000000,-0.763221,-1.085156,-1.654870,4.099433,2.465828,1.000000
0.480963,-1.089147,20.000000,-0.027194,-1.969896,-3.408881,4.698585,2.617562,-1.000000
-0.102469,2.290413,20.000000,0.015028,-0.217120,-0.532845,4.781492,2.753825,-1.000000
-1.156183,2.007996,20.000000,2.953814,-8.256193,-3.089625,5.055969,1.909561,1.000000
4.522586,1.608068,20.000000,-0.209400,0.076830,-5.558372,2.789938,3.101485,1.000000
-2.079941,-4.014095,20.000000,1.223193,-3.900388,-2.091208,5.016283,2.043670,1.000000
2.407509,-3.048130,20.000000,-3.180745,0.647222,-3.002871,2.940852,2.317318,1.000000
-2.216910,-2.191475,20.000000,-0.025805,0.064813,-0.125700,1.949700,2.634929,-1.000000
